Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_0917600,2175,1417,1768,1758,1856,1930,1054,1208,1596,2568,2494,2233
PF3D7_1114900,9,6,13,13,9,13,5065,5323,5997,7695,8143,6764
PF3D7_1372400,2,6,4,3,7,14,1312,1437,1494,1693,1606,1606
PF3D7_1036000,126,110,111,19,19,24,14068,14076,19819,767,715,712
PF3D7_0818800,324,212,249,274,289,222,138,269,318,378,439,357
PF3D7_1308700,23,18,21,7,6,2,633,700,774,1310,1397,1123
PF3D7_0707400,1199,879,1084,560,607,755,703,844,887,2310,2448,2054
PF3D7_1204400,2,2,1,5,5,1,12,11,11,19,20,12
PF3D7_0600500,2,4,7,1,2,1,0,0,0,4,1,3
PF3D7_0402800,0,0,0,3,2,0,1,0,0,0,1,0
PF3D7_1410300,407,174,262,435,437,430,1569,2248,2245,5242,5207,4704
PF3D7_1450900,12,15,20,5,1,11,110,100,148,557,519,473
PF3D7_1356000,12,13,14,13,12,15,193,243,259,646,709,594
PF3D7_1328400,188,134,153,64,66,47,111,160,163,449,428,394
PF3D7_1473300,16,11,16,22,24,35,161,168,204,1015,984,830
PF3D7_1307800,511,343,469,306,276,321,594,741,812,2616,2631,2262
PF3D7_0202500,55646,46855,49788,44643,40829,48146,100478,102895,135522,3836,4141,3605
PF3D7_1479100,0,1,1,5,1,0,10,15,18,19,26,14
PF3D7_API00900,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_1025700,8,3,10,6,6,8,547,487,665,1823,1771,1617
PF3D7_0709900,6,12,10,24,19,13,2071,2034,2467,5046,5238,4199
PF3D7_1400100,6,8,8,2,6,2,36,31,32,209,214,146
PF3D7_0524200,1,5,4,4,6,7,243,273,317,668,648,692
PF3D7_1346700,5,5,6,3,8,0,253,213,283,1107,1161,918
PF3D7_0408800,1,0,0,0,0,0,0,2,2,5,7,3
PF3D7_1410000,438,344,418,306,306,253,92,199,242,428,514,429
PF3D7_0218200,349,301,349,239,276,281,767,729,936,1936,2046,1858
PF3D7_1341800,3,8,4,10,9,11,2382,2550,2760,2522,2707,2360
PF3D7_1415100,4,5,2,1,0,1,1321,1530,1802,617,704,582
PF3D7_0201200,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0929300,10,11,13,22,19,7,519,480,597,1861,1800,1536
PF3D7_0502700,101,91,105,93,95,88,75,70,72,308,310,287
PF3D7_0205700,414,233,350,331,334,269,282,465,512,344,357,364
PF3D7_0811600,59,28,47,137,134,153,3174,5350,5703,5420,6162,5204
PF3D7_0928100,30,19,30,30,34,41,111,105,123,942,950,628
PF3D7_0422000,107,95,89,266,262,256,625,630,743,4635,4836,4207
PF3D7_1144800,4,2,8,11,16,9,167,198,239,758,755,642
PF3D7_0408700,3,2,3,86,110,122,66,52,65,1042,1047,763
PF3D7_0800600,1,0,0,2,1,0,87,103,111,944,894,797
PF3D7_1015400,17,16,24,17,14,19,1238,1636,1834,2588,2494,2342
PF3D7_1333700,299,200,257,147,132,212,4653,4113,5300,6651,7916,7043
PF3D7_0501600,26,22,18,21,21,22,25614,24147,33482,23507,27898,21801
PF3D7_0631100,9,5,11,3,2,5,173,130,173,692,651,555
PF3D7_1218000,5,3,9,0,4,12,2101,2529,3260,371,321,347
PF3D7_0412400,3026,2106,2500,3364,2964,3199,29,21,35,133,145,101
PF3D7_0216200,447,365,341,408,396,494,104,163,210,495,517,446
PF3D7_1013500,188,140,155,122,86,86,1263,1394,1576,1590,1638,1453
PF3D7_0204900,14,11,16,7,12,10,466,592,572,1904,1800,1915
PF3D7_1205400,102,36,68,58,50,43,587,568,694,817,844,768
